MONTH,STEP_CODE,CNT,QTY
'201102,"[20,25)","42,253","930,621"
'201105,"[ 7, 8)","104,433","781,878"
'201111,"[ 9,10)","100,877","955,478"
'200003,"[ 6, 7)",2,12
'201202,"[ 0, 0]","212,068",0
'201110,"[18,20)","55,945","1,059,377"
'199205,"[ 7, 8)",1,7
'201202,"( 0, 1)","171,697","89,845"
'199005,"[ 7, 8)",1,7
'199012,"[ 7, 8)",1,7
'201212,"[35,40)","3,438","128,145"
'201207,"[ 7, 8)","102,919","771,277"
'201211,"[ 9,10)","97,568","924,283"
'201212,"( 0, 1)","163,418","83,741"
'201302,"[45,50)",967,"45,786"
'201305,"[45,50)","2,299","108,863"
'201304,"[14,16)","104,880","1,566,608"
'201302,"[14,16)","84,651","1,260,207"
'199009,"[ 0, 0]",1,0
'198003,"[ 0, 0]",1,0
'201308,"[45,50)","3,359","159,093"
'201311,"( 0, 1)","162,015","81,125"
'201402,"[12,14)","120,316","1,552,364"
'201408,"[30,35)","11,732","377,405"
'201408,"[35,40)","6,116","227,953"
'201410,"( 0, 1)","39,419","21,438"
'200604,"[ 0, 0]","5,846",0
'200604,"( 0, 1)","1,894",683
'200402,"[ 8, 9)",42,357
'200405,"[ 8, 9)",54,454
'200507,"[ 8, 9)",99,837
'200511,"[16,18)",134,"2,279"
'200308,"[30,35)",20,643
'200305,"[45,50)",3,144
'200310,"[ 3, 4)",50,173
'200207,"[ 5, 6)",26,143
'200204,"[12,14)",16,203
'200406,"[ 4, 5)",66,294
'200311,"[ 4, 5)",47,209
'199511,"[ 1, 2)",7,10
'199701,"[ 0, 0]",141,0
'200104,"[25,30)",7,193
'199507,"[ 0, 0]",141,0
'200303,"[25,30)",14,380
'200008,"[ 4, 5)",6,27
'200306,"[ 2, 3)",43,110
'199212,"[ 0, 0]",140,0
'199602,"[ 4, 5)",4,17
'199903,"[ 4, 5)",4,18
'200002,"[ 4, 5)",5,22
'200412,"[18,20)",31,584
'200702,"[30,35)","8,481","272,963"
'199904,"( 0, 1)",24,5
'199908,"( 0, 1)",25,6
'200209,"[50,..)",23,"1,999"
'200210,"[10,12)",31,335
'200211,"[10,12)",30,327
'200406,"[ 6, 7)",61,397
'199808,"( 0, 1)",23,5
'200703,"[18,20)","64,933","1,229,511"
'199709,"[ 2, 3)",6,15
'199512,"[ 2, 3)",6,15
'200105,"[ 5, 6)",6,32
'200707,"[18,20)","66,418","1,258,142"
'200012,"[30,35)",5,161
'200306,"[40,45)",6,251
'199804,"[ 6, 7)",3,20
'199704,"[30,35)",2,64
'200710,"[12,14)","146,562","1,898,927"
'199505,"[ 5, 6)",1,6
'199911,"[ 5, 6)",1,5
'199205,"[16,18)",1,16
'199811,"[14,16)",2,31
'199812,"[16,18)",2,33
'200104,"[14,16)",8,120
'200202,"[45,50)",2,95
'200109,"[40,45)",3,125
'199712,"[12,14)",1,14
'199905,"[12,14)",3,38
'200901,"[ 6, 7)","107,050","695,315"
'199607,"[20,25)",2,44
'200903,"[ 3, 4)","114,445","399,029"
'200912,"[ 9,10)","99,023","938,982"
'199911,"[ 8, 9)",1,8
'201002,"[30,35)","6,857","220,618"
'201003,"[ 9,10)","103,267","980,511"
'199407,"[20,25)",1,22
'199301,"[ 3, 4)",3,10
'199505,"[ 3, 4)",3,10
'199709,"[ 3, 4)",2,7
'201007,"[ 9,10)","92,047","872,756"
'201007,"[ 6, 7)","104,103","674,942"
'199810,"[10,12)",1,10
'201012,"[ 3, 4)","113,937","396,189"
'201103,"[18,20)","52,685","997,266"
'201110,"[35,40)","7,183","267,531"
'201109,"[50,..)","12,517","2,319,132"
'200103,"[14,16)",4,61
'201203,"[ 3, 4)","116,203","404,336"
'198409,"[ 6, 7)",1,7
'199409,"[ 6, 7)",1,7
'201207,"[16,18)","76,655","1,298,559"
'201212,"[ 5, 6)","111,684","612,332"
'201301,"[ 3, 4)","114,801","401,431"
'201303,"[12,14)","140,961","1,825,306"
'198103,"[ 0, 0]",1,0
'198306,"[ 0, 0]",1,0
'198604,"[ 0, 0]",1,0
'201402,"[ 7, 8)","117,602","878,940"
'200512,"[10,12)",293,"3,201"
'200612,"[30,35)","9,045","290,199"
'200411,"[ 3, 4)",74,259
'200512,"[ 0, 0]","2,948",0
'200509,"[ 0, 0]","2,297",0
'200608,"[ 5, 6)",960,"5,255"
'200605,"[14,16)",528,"7,908"
'200609,"[30,35)",383,"12,349"
'200511,"[ 8, 9)",139,"1,182"
'200604,"[ 8, 9)",411,"3,497"
'200508,"[ 9,10)",117,"1,115"
'200308,"[ 0, 0]",849,0
'200303,"[50,..)",29,"3,085"
'200501,"( 0, 1)",333,109
'200410,"[18,20)",29,546
'200205,"[45,50)",2,95
'200304,"[45,50)",3,140
'200406,"[45,50)",9,425
'200212,"( 0, 1)",108,32
'200204,"[ 3, 4)",15,52
'200305,"[12,14)",39,505
'200405,"[ 2, 3)",67,171
'200504,"[18,20)",52,987
'200310,"[20,25)",42,940
'199511,"[ 0, 0]",142,0
'200011,"[ 0, 0]",173,0
'200003,"[ 1, 2)",9,12
'200107,"[25,30)",5,133
'199604,"[ 0, 0]",142,0
'200411,"[ 1, 2)",90,129
'199610,"[25,30)",2,53
