MONTH,STEP_CODE,CNT,QTY
'201103,"[ 7, 8)","108,331","810,982"
'201106,"[40,45)","4,710","199,147"
'201109,"[ 6, 7)","114,663","743,186"
'201201,"[ 4, 5)","116,014","518,872"
'201112,"( 0, 1)","147,782","75,057"
'201203,"[18,20)","50,534","956,555"
'201204,"[ 7, 8)","108,602","813,137"
'199008,"[ 7, 8)",1,7
'201203,"( 0, 1)","141,467","68,694"
'201205,"[ 1, 2)","113,953","163,283"
'201204,"[30,35)","9,524","305,646"
'201208,"[45,50)","3,920","185,622"
'201301,"[30,35)","6,816","219,084"
'201303,"[ 2, 3)","111,930","279,276"
'198712,"[ 0, 0]",1,0
'198904,"[ 0, 0]",1,0
'198909,"[ 0, 0]",1,0
'201303,"[16,18)","72,624","1,229,001"
'201403,"[ 2, 3)","109,455","275,556"
'201404,"( 0, 1)","129,445","63,410"
'201405,"[ 2, 3)","98,457","247,347"
'201408,"[ 4, 5)","98,780","442,616"
'200610,"[30,35)","1,085","34,888"
'200610,"[ 6, 7)","4,828","31,350"
'200603,"[50,..)",232,"59,795"
'200510,"[35,40)",61,"2,272"
'200604,"[35,40)",92,"3,415"
'200505,"[ 8, 9)",83,700
'200411,"[50,..)",66,"20,660"
'200501,"[ 1, 2)",104,151
'200209,"( 0, 1)",84,24
'200603,"[45,50)",32,"1,528"
'200409,"[18,20)",28,530
'200601,"[40,45)",44,"1,860"
'200312,"[14,16)",33,497
'200401,"[14,16)",35,527
'200403,"[14,16)",36,543
'200404,"[16,18)",29,496
'200311,"[20,25)",42,945
'200501,"[20,25)",73,"1,637"
'199203,"[ 9,10)",1,10
'200203,"[ 9,10)",7,66
'200001,"[ 0, 0]",158,0
'199607,"[ 1, 2)",6,9
'199705,"[ 0, 0]",147,0
'199512,"[ 4, 5)",4,18
'199703,"[ 4, 5)",4,18
'199510,"[25,30)",2,53
'199511,"[ 9,10)",2,19
'199903,"[ 1, 2)",7,10
'200302,"[ 9,10)",20,188
'200703,"[ 7, 8)","98,483","738,109"
'200202,"[ 4, 5)",14,63
'200012,"[ 2, 3)",9,23
'200703,"( 0, 1)","119,673","63,352"
'200107,"[ 6, 7)",3,19
'200205,"[30,35)",8,257
'199601,"[ 2, 3)",6,15
'199701,"[ 2, 3)",6,15
'199707,"[ 2, 3)",6,15
'199802,"[ 2, 3)",5,12
'200112,"[14,16)",9,135
'200712,"[30,35)","12,569","404,425"
'199504,"[ 5, 6)",1,5
'199710,"[ 5, 6)",1,6
'200105,"[ 8, 9)",2,17
'200102,"[18,20)",5,94
'200807,"[ 1, 2)","114,372","170,079"
'200807,"[16,18)","82,921","1,405,168"
'200812,"[40,45)","3,390","143,324"
'199606,"[12,14)",1,13
'200901,"[ 1, 2)","116,911","173,863"
'200902,"[ 1, 2)","125,184","186,074"
'199501,"[20,25)",2,44
'200901,"( 0, 1)","146,619","74,253"
'200908,"[ 5, 6)","111,109","608,889"
'201403,"[ 0, 0]","243,103",0
'200909,"[ 5, 6)","113,031","619,393"
'200911,"[ 4, 5)","115,230","517,057"
'200912,"[25,30)","25,145","681,120"
'199302,"[30,35)",1,30
'199804,"[ 8, 9)",1,8
'201001,"[ 7, 8)","108,616","814,722"
'199704,"[ 3, 4)",2,7
'199409,"[ 3, 4)",2,7
'201006,"[45,50)","3,400","160,952"
'199902,"[ 9,10)",1,9
'201011,"( 0, 1)","138,875","72,086"
'201104,"[ 8, 9)","104,289","884,876"
'201106,"[ 1, 2)","118,933","174,525"
'201106,"[ 3, 4)","120,575","421,208"
'201106,"[35,40)","7,877","293,488"
'201109,"[ 1, 2)","118,122","178,089"
'201105,"[14,16)","111,146","1,659,717"
'199604,"[16,18)",1,16
'201112,"[14,16)","105,539","1,575,364"
'198607,"[ 7, 8)",1,7
'201204,"[ 9,10)","98,284","930,516"
'201302,"[25,30)","11,118","300,987"
'201303,"[ 7, 8)","106,690","799,369"
'198102,"[ 0, 0]",1,0
'201307,"[ 2, 3)","111,705","279,045"
'201308,"[25,30)","30,338","823,814"
'201312,"[ 1, 2)","115,427","171,164"
'201401,"[ 4, 5)","112,650","504,060"
'201405,"[ 6, 7)","92,920","603,619"
'201312,"[16,18)","68,110","1,153,406"
'200606,"[50,..)",309,"70,316"
'200608,"[ 2, 3)","1,185","2,940"
'200408,"[ 5, 6)",76,420
'200605,"[ 2, 3)",569,"1,411"
'200604,"[14,16)",457,"6,842"
'200606,"[40,45)",73,"3,096"
'200604,"[30,35)",146,"4,738"
'200511,"[30,35)",79,"2,564"
'200309,"[30,35)",22,709
'200501,"[ 9,10)",67,637
'200602,"[18,20)",201,"3,806"
'200403,"[45,50)",7,337
'200303,"( 0, 1)",114,36
'200201,"[ 3, 4)",11,37
'200305,"[ 3, 4)",37,127
'200305,"[ 4, 5)",33,148
'200205,"[ 2, 3)",24,60
'199409,"[ 0, 0]",142,0
'199602,"[ 9,10)",2,18
'199712,"[ 0, 0]",147,0
'199904,"[ 0, 0]",150,0
'200007,"[ 0, 0]",168,0
'199602,"[ 1, 2)",7,10
'199304,"[25,30)",1,26
'199512,"[25,30)",2,53
'199708,"[25,30)",2,53
'199202,"[ 4, 5)",4,17
'199206,"[ 1, 2)",5,8
'200108,"( 0, 1)",46,11
'200612,"[20,25)","59,959","1,324,328"
'200702,"[18,20)","47,682","901,892"
'200703,"[ 4, 5)","103,915","465,347"
'200703,"[10,12)","173,947","1,907,060"
'199411,"[ 2, 3)",5,13
'200708,"[ 7, 8)","98,856","740,368"
'200007,"[10,12)",2,22
'200708,"[16,18)","83,567","1,415,748"
'199903,"[ 7, 8)",2,14
'200711,"[45,50)","2,563","121,298"
'199304,"[ 5, 6)",1,5
'199607,"[ 5, 6)",1,6
'199312,"[ 5, 6)",1,6
'200804,"[ 6, 7)","108,299","702,663"
'199606,"[20,25)",3,68
'200907,"[ 4, 5)","109,969","493,388"
'200910,"[ 0, 0]","144,455",0
'199209,"[30,35)",1,33
'199802,"[30,35)",1,30
'200004,"[ 8, 9)",1,8
'200009,"[ 8, 9)",1,8
'199902,"[ 7, 8)",1,8
'199510,"[ 8, 9)",1,9
'199805,"[ 8, 9)",1,9
'199310,"[20,25)",1,22
'199309,"[ 3, 4)",2,7
'199812,"[ 3, 4)",3,10
'201002,"[14,16)","96,599","1,439,484"
'201005,"( 0, 1)","114,651","57,384"
'201007,"[ 8, 9)","97,674","828,776"
'201005,"[16,18)","87,863","1,487,173"
'201009,"[40,45)","4,435","187,702"
'201008,"( 0, 1)","131,944","69,892"
'201010,"[ 7, 8)","102,552","768,117"
'201101,"[ 0, 0]","177,472",0
'201112,"[40,45)","2,774","117,434"
'201104,"[50,..)","6,768","1,242,044"
'201107,"[16,18)","78,380","1,327,116"
'201201,"[18,20)","46,771","884,609"
'199911,"[16,18)",1,16
'198504,"[ 6, 7)",1,7
'198702,"[ 6, 7)",1,7
'198911,"[ 6, 7)",1,7
'198912,"[ 7, 8)",1,7
'199404,"[ 6, 7)",1,7
'201206,"[ 3, 4)","115,561","403,061"
'201203,"[14,16)","104,224","1,555,629"
'201209,"[ 3, 4)","116,802","407,505"
'201210,"[ 9,10)","97,942","929,467"
'201302,"[ 5, 6)","121,724","668,159"
'201305,"[ 4, 5)","109,726","492,376"
'198505,"[ 0, 0]",1,0
'199101,"[ 0, 0]",1,0
'199105,"[ 0, 0]",1,0
'201305,"[12,14)","144,108","1,867,193"
'201402,"[ 5, 6)","119,851","657,638"
'201405,"[ 7, 8)","92,946","695,877"
'201407,"[ 5, 6)","97,329","533,922"
'201409,"[14,16)","51,779","773,180"
'201410,"[35,40)","1,305","48,664"
'200611,"[25,30)","10,069","272,238"
'200510,"( 0, 1)",640,222
'200606,"[14,16)",601,"8,990"
'200608,"[40,45)",115,"4,893"
'200607,"[35,40)",178,"6,626"
'200503,"( 0, 1)",376,125
'200503,"[30,35)",49,"1,587"
'200406,"[ 0, 0]","1,101",0
'200310,"[50,..)",42,"4,363"
'200604,"[ 2, 3)",519,"1,293"
'200701,"[ 9,10)","91,894","871,259"
'200603,"[ 2, 3)",465,"1,153"
'200102,"[ 6, 7)",4,26
'200404,"[ 7, 8)",69,519
'200411,"[ 9,10)",61,580
'200407,"[14,16)",43,649
'200112,"[12,14)",11,143
'200501,"[12,14)",103,"1,340"
'200409,"[ 4, 5)",72,321
'200304,"[12,14)",34,433
'200311,"[16,18)",26,444
'200403,"[16,18)",25,428
'199205,"[ 0, 0]",139,0
'199404,"[ 9,10)",2,19
'199708,"[ 9,10)",1,10
'199401,"[ 1, 2)",5,8
'199307,"[25,30)",2,53
'199508,"[25,30)",2,53
'200410,"[ 2, 3)",79,202
'200702,"[ 9,10)","98,580","934,984"
'200303,"[30,35)",11,357
'200201,"[ 8, 9)",4,34
'199208,"( 0, 1)",17,2
'199402,"( 0, 1)",23,5
'200110,"[50,..)",5,479
'200203,"[ 5, 6)",11,60
'200706,"[45,50)","4,090","193,320"
'200210,"[30,35)",9,289
'200709,"[ 4, 5)","107,990","484,969"
'199809,"[30,35)",2,64
'200712,"[ 4, 5)","108,607","488,097"
'199203,"[ 5, 6)",1,6
'199512,"[ 5, 6)",1,6
'200002,"[ 5, 6)",5,27
'199906,"[ 5, 6)",1,5
'199701,"[16,18)",2,33
'199203,"[16,18)",1,16
'200805,"[ 8, 9)","98,714","838,733"
'200802,"[20,25)","61,208","1,349,955"
'200009,"[18,20)",4,75
'200010,"[18,20)",4,78
'200811,"[ 0, 0]","135,572",0
'200201,"[35,40)",3,113
'199802,"[18,20)",2,38
'200810,"[18,20)","59,629","1,129,508"
'200812,"[12,14)","147,768","1,915,083"
'200103,"[40,45)",1,44
'200905,"[ 7, 8)","101,664","761,169"
'200906,"[ 5, 6)","108,186","592,239"
'200903,"[50,..)","7,651","1,206,876"
'200907,"[ 6, 7)","106,825","693,350"
'200907,"[ 0, 0]","141,997",0
'200009,"[ 3, 4)",4,14
'200909,"[40,45)","4,589","194,009"
'200912,"[30,35)","10,540","338,817"
'199905,"[ 8, 9)",1,9
'199807,"[ 8, 9)",1,9
'201003,"[ 6, 7)","109,310","709,678"
'201001,"[14,16)","112,128","1,676,121"
'200004,"[ 3, 4)",3,10
'201010,"[ 9,10)","97,077","921,944"
'201102,"[ 2, 3)","128,227","319,998"
'201103,"[ 5, 6)","112,853","619,177"
'201105,"[45,50)","2,361","111,810"
'201107,"[45,50)","4,181","198,097"
'201110,"[40,45)","4,184","176,966"
'201110,"[ 3, 4)","118,501","413,799"
'201112,"[ 3, 4)","118,978","413,452"
'199610,"[ 6, 7)",1,6
'201202,"[25,30)","13,997","379,272"
'198312,"[ 7, 8)",1,7
'199307,"[ 7, 8)",1,7
'201204,"[ 5, 6)","112,409","616,157"
'201211,"[ 6, 7)","112,455","729,061"
'201212,"[45,50)","1,304","61,641"
'201304,"[ 7, 8)","106,690","799,001"
'198608,"[ 0, 0]",1,0
'201308,"[ 0, 0]","224,774",0
'201312,"[ 2, 3)","110,903","276,163"
'201312,"[40,45)","1,930","81,650"
'201403,"[45,50)","1,133","53,558"
'201401,"( 0, 1)","165,698","84,154"
'201402,"[40,45)","1,277","53,934"
'201410,"[ 5, 6)","32,973","180,614"
'200611,"[ 4, 5)","42,336","190,588"
'200609,"[ 2, 3)","1,492","3,714"
'200506,"[ 3, 4)",117,410
'200504,"[ 0, 0]","1,736",0
'200604,"[ 6, 7)",418,"2,706"
'200507,"[25,30)",98,"2,673"
'200512,"[25,30)",138,"3,757"
'200505,"[45,50)",17,814
'200511,"[45,50)",24,"1,141"
'200208,"( 0, 1)",82,25
'200408,"[35,40)",24,891
'200306,"[10,12)",35,382
'200004,"[ 9,10)",2,19
'200205,"[ 9,10)",17,161
'200212,"[ 9,10)",24,228
'200110,"[ 0, 0]",251,0
'199807,"[ 1, 2)",7,10
'200108,"[25,30)",5,133
'200007,"[25,30)",5,133
'199301,"[ 4, 5)",4,18
'200406,"[ 2, 3)",80,206
'199811,"[ 4, 5)",4,18
'199702,"[ 8, 9)",1,9
'199801,"[ 1, 2)",6,9
'200306,"[12,14)",34,433
'200402,"[14,16)",30,443
'200209,"[ 8, 9)",21,177
'200208,"[10,12)",27,291
'199211,"( 0, 1)",17,3
'199406,"( 0, 1)",21,4
'199801,"( 0, 1)",22,4
'199902,"[ 2, 3)",6,15
'200201,"[50,..)",8,769
'200707,"[ 5, 6)","101,703","558,177"
'200102,"[25,30)",5,138
'200207,"[30,35)",8,257
'199609,"[ 2, 3)",6,15
'199801,"[ 2, 3)",6,15
'200710,"[ 9,10)","95,312","904,477"
'200109,"[30,35)",4,130
'200712,"[ 7, 8)","102,384","767,886"
'199907,"[ 5, 6)",1,6
'200110,"[40,45)",3,129
'200807,"[45,50)","4,635","219,637"
'200805,"[12,14)","148,321","1,922,655"
'200808,"[12,14)","140,826","1,825,448"
'200811,"[ 3, 4)","117,858","411,440"
'200805,"[25,30)","38,177","1,036,839"
'199212,"[12,14)",1,14
'199510,"[20,25)",2,44
'199703,"[20,25)",2,44
'200903,"[ 7, 8)","105,196","787,378"
'200102,"[35,40)",1,40
'199201,"[ 0, 0]",2,0
'200908,"[25,30)","35,315","959,652"
'200908,"[45,50)","4,446","210,583"
'200910,"[ 2, 3)","114,676","285,746"
'200910,"[40,45)","4,036","170,659"
'199906,"[ 8, 9)",1,8
'200902,"[50,..)","6,057","1,048,783"
'201002,"[ 5, 6)","120,921","664,516"
'201004,"[35,40)","6,578","244,921"
'199501,"[ 3, 4)",3,10
'200001,"[ 3, 4)",4,13
'199307,"[ 3, 4)",3,10
'201005,"[ 4, 5)","110,395","495,640"
'201009,"[50,..)","10,389","1,885,119"
'201101,"[45,50)","1,737","82,162"
'201011,"[14,16)","102,347","1,528,018"
'200010,"[14,16)",4,61
'199506,"[16,18)",1,16
'201203,"[25,30)","21,220","575,328"
'198505,"[ 7, 8)",1,7
'199403,"[ 7, 8)",1,7
'201209,"[35,40)","7,532","280,614"
'201302,"[ 7, 8)","117,500","878,505"
'201304,"[ 8, 9)","103,618","879,498"
'198004,"[ 0, 0]",1,0
'199003,"[ 0, 0]",1,0
'201304,"[10,12)","178,735","1,954,755"
'201305,"[14,16)","109,407","1,634,486"
'201308,"[40,45)","5,072","214,528"
'201310,"[ 9,10)","98,842","938,532"
'201403,"[ 7, 8)","101,900","762,615"
'201403,"[ 4, 5)","111,819","501,918"
'201405,"[30,35)","9,737","313,384"
'201402,"[10,12)","168,487","1,842,116"
'201409,"[45,50)","1,266","59,795"
'201406,"[20,25)","60,561","1,336,869"
'200612,"[ 1, 2)","78,131","117,983"
'200508,"[10,12)",190,"2,077"
'200601,"[10,12)",361,"3,943"
'200607,"[ 4, 5)",691,"3,108"
'200407,"[ 5, 6)",74,409
'200605,"[ 7, 8)",465,"3,496"
'200508,"[16,18)",94,"1,600"
'200507,"[16,18)",89,"1,516"
'200402,"[ 3, 4)",59,206
'200307,"[35,40)",16,597
'200204,"[ 2, 3)",26,67
'200411,"[20,25)",60,"1,352"
'200001,"[ 9,10)",1,10
'200107,"[ 9,10)",3,28
'199711,"[ 0, 0]",148,0
'199909,"[ 0, 0]",154,0
'199910,"[ 0, 0]",157,0
'200003,"[ 0, 0]",163,0
'200111,"[ 0, 0]",258,0
'199204,"[ 1, 2)",5,8
'199207,"[ 1, 2)",4,6
'199702,"[20,25)",3,68
'200010,"[ 4, 5)",6,27
'199311,"[ 4, 5)",4,18
'199406,"[ 4, 5)",4,18
'199605,"[ 4, 5)",4,18
'199206,"[ 9,10)",2,19
'199603,"[ 9,10)",1,10
'199608,"[ 1, 2)",6,9
'200702,"[ 1, 2)","112,631","168,407"
'200205,"[50,..)",17,"1,621"
'200101,"[ 2, 3)",10,25
'199811,"[ 2, 3)",7,18
'199509,"( 0, 1)",21,4
'200702,"[16,18)","71,884","1,216,118"
'199906,"[10,12)",3,35
'200101,"[10,12)",2,22
'200709,"[ 6, 7)","104,957","680,613"
'200209,"[40,45)",5,208
'200307,"[40,45)",9,387
'200708,"[14,16)","109,197","1,632,526"
'200711,"[ 4, 5)","111,157","498,931"
'199810,"[ 7, 8)",2,14
'200712,"[ 2, 3)","107,730","269,257"
'200709,"[18,20)","59,828","1,131,960"
'199709,"[ 5, 6)",1,5
'200802,"[ 0, 0]","131,884",0
'200711,"[10,12)","179,170","1,961,296"
'200803,"[35,40)","6,492","241,952"
'200106,"[ 8, 9)",3,25
'199502,"[14,16)",2,30
'200108,"[40,45)",3,129
'200807,"[40,45)","6,846","289,837"
'200102,"[30,35)",3,92
'200807,"[20,25)","87,608","1,941,102"
'200809,"[10,12)","175,918","1,924,991"
'199709,"[12,14)",1,13
'199711,"[12,14)",1,13
'200808,"[25,30)","37,146","1,010,013"
'200901,"[ 4, 5)","113,102","508,710"
'199704,"[20,25)",3,68
'200011,"[20,25)",5,108
'200908,"[ 8, 9)","101,653","864,312"
'199909,"[ 8, 9)",1,8
'199503,"[ 8, 9)",1,9
'199307,"[20,25)",1,22
'199202,"[ 3, 4)",2,6
'199411,"[ 3, 4)",2,7
'199911,"[ 3, 4)",2,7
'201007,"[30,35)","17,242","555,575"
'201008,"[45,50)","3,990","189,017"
'201008,"[16,18)","72,111","1,221,507"
'201102,"[30,35)","6,072","195,366"
'201106,"[ 8, 9)","104,963","890,500"
'201108,"[ 5, 6)","112,137","614,129"
'201103,"[16,18)","78,029","1,320,067"
'201106,"[45,50)","3,150","149,047"
'201111,"[25,30)","22,792","617,267"
'201107,"[18,20)","57,251","1,083,815"
'200011,"[ 7, 8)",1,7
'201201,"[ 9,10)","101,305","960,628"
'201202,"[45,50)","1,114","52,643"
'198508,"[ 7, 8)",1,7
'198804,"[ 6, 7)",1,7
'201203,"[10,12)","178,035","1,952,935"
'201211,"[ 2, 3)","113,934","285,394"
'201207,"[40,45)","6,094","257,788"
'201207,"( 0, 1)","144,567","72,193"
'201211,"( 0, 1)","159,640","80,769"
'201305,"[25,30)","29,502","800,104"
'198208,"[ 0, 0]",1,0
'198307,"[ 0, 0]",1,0
'198401,"[ 0, 0]",1,0
'198806,"[ 0, 0]",1,0
'199107,"[ 0, 0]",1,0
'199109,"[ 0, 0]",1,0
'198302,"[ 0, 0]",1,0
'198703,"[ 0, 0]",1,0
'201310,"[ 1, 2)","117,076","172,551"
'201402,"[ 9,10)","100,333","951,412"
'201309,"[16,18)","68,614","1,161,334"
'201401,"[16,18)","66,676","1,128,205"
'201403,"[16,18)","67,895","1,148,920"
'201404,"[14,16)","93,677","1,399,628"
'201406,"[ 4, 5)","100,179","449,285"
'201406,"[50,..)","7,847","1,042,153"
'201411,"[ 4, 5)",1,5
'200511,"[ 2, 3)",210,531
'200609,"[ 7, 8)","1,202","9,029"
'200501,"[ 0, 0]","1,446",0
'200411,"[ 8, 9)",60,509
'200211,"[ 0, 0]",548,0
'200701,"[ 4, 5)","102,695","459,856"
'200201,"[ 7, 8)",5,36
'200510,"[ 1, 2)",210,304
'200307,"( 0, 1)",157,53
'200501,"[25,30)",62,"1,680"
'200410,"[10,12)",83,903
'200604,"[45,50)",30,"1,424"
'200110,"[ 3, 4)",11,37
'200211,"[ 3, 4)",30,105
'200301,"[ 3, 4)",37,127
'200408,"[ 6, 7)",62,401
'200408,"[ 2, 3)",73,186
'200310,"[25,30)",27,728
'199409,"[ 9,10)",2,19
'199909,"[ 9,10)",2,19
'200109,"[ 0, 0]",244,0
'200201,"[ 0, 0]",274,0
'200201,"[25,30)",8,214
'199601,"[ 0, 0]",141,0
'200307,"[ 1, 2)",40,58
'200211,"[25,30)",12,330
'199212,"[ 4, 5)",4,18
'200205,"[25,30)",10,269
'199412,"[ 4, 5)",4,18
'199705,"[ 4, 5)",4,18
'200411,"[45,50)",12,568
'200409,"[ 6, 7)",65,423
'200612,"[10,12)","128,244","1,404,716"
'199705,"( 0, 1)",22,4
'200705,"[50,..)","11,989","1,545,957"
'200706,"[ 8, 9)","96,586","819,608"
'200111,"[ 5, 6)",7,37
'200211,"[40,45)",6,251
'200403,"[40,45)",9,387
'200710,"[ 4, 5)","107,009","480,050"
'199405,"[30,35)",2,66
'200012,"[ 5, 6)",4,21
'200804,"[40,45)","4,204","177,745"
'199601,"[16,18)",2,33
'200001,"[16,18)",2,33
'200809,"[ 9,10)","95,291","902,665"
'200102,"[16,18)",5,86
'199502,"[12,14)",1,12
'199906,"[12,14)",1,13
'200204,"[35,40)",3,113
'200901,"[12,14)","146,590","1,899,486"
'200906,"[20,25)","82,781","1,829,508"
'200909,"[ 8, 9)","105,190","892,559"
'200910,"[ 4, 5)","113,206","507,512"
'200911,"[ 3, 4)","119,440","417,003"
'199311,"[30,35)",1,33
'200909,"[16,18)","74,579","1,262,504"
'200911,"[12,14)","146,605","1,897,056"
'201002,"[35,40)","3,549","132,159"
'201004,"[25,30)","28,079","759,887"
'201001,"[16,18)","78,413","1,328,482"
'199803,"[ 3, 4)",3,10
'201005,"[12,14)","148,499","1,924,400"
'201009,"[45,50)","2,756","130,305"
'199410,"[10,12)",1,10
'201101,"[18,20)","51,783","979,675"
'201108,"[ 0, 0]","181,089",0
'199905,"[14,16)",1,15
'201201,"[ 0, 0]","205,792",0
'201301,"[50,..)","5,034","1,145,033"
'201205,"[ 6, 7)","104,534","678,247"
'201208,"[12,14)","132,650","1,718,240"
'201305,"[ 0, 0]","222,714",0
'201305,"[ 3, 4)","109,815","383,519"
'201305,"[35,40)","6,358","236,772"
'198704,"[ 0, 0]",1,0
'201306,"[45,50)","2,614","123,647"
'201308,"[16,18)","70,648","1,197,312"
'201402,"[35,40)","2,009","74,773"
'201311,"[10,12)","176,625","1,931,267"
'201405,"[20,25)","65,491","1,445,815"
'201411,"[ 0, 0]",2,0
'200611,"[ 7, 8)","39,392","295,350"
'200611,"[16,18)","29,458","498,396"
'200511,"[ 0, 0]","2,606",0
'200605,"[35,40)",126,"4,688"
'200408,"[ 0, 0]","1,155",0
'200502,"[ 8, 9)",80,682
'200504,"( 0, 1)",398,133
'200405,"[30,35)",26,839
'200309,"[50,..)",39,"3,981"
'200512,"[ 2, 3)",209,522
'200407,"[ 0, 0]","1,135",0
'200507,"[ 4, 5)",132,592
'200310,"[10,12)",54,583
'200312,"[ 8, 9)",44,370
'200401,"[ 8, 9)",50,419
'200203,"[12,14)",12,155
'200112,"[ 2, 3)",20,50
'200406,"[14,16)",40,595
'200409,"[16,18)",34,581
'200308,"[10,12)",52,562
'199202,"[ 0, 0]",139,0
'199606,"[ 0, 0]",142,0
'199808,"[ 0, 0]",149,0
'199802,"[ 1, 2)",6,10
'199305,"[25,30)",2,53
'200306,"[25,30)",15,412
'199207,"[ 4, 5)",4,18
'200209,"[ 1, 2)",21,31
'200306,"[45,50)",3,140
'200307,"[ 6, 7)",44,285
'200307,"[30,35)",17,547
'199603,"( 0, 1)",22,4
'199606,"( 0, 1)",21,4
'199609,"( 0, 1)",21,4
'199502,"( 0, 1)",23,5
'199407,"( 0, 1)",22,4
'200207,"[18,20)",10,191
'200104,"[12,14)",5,64
'200705,"[10,12)","172,120","1,888,838"
'200706,"[ 3, 4)","107,782","376,922"
'200007,"[16,18)",6,101
'200707,"[ 0, 0]","127,071",0
'200412,"[40,45)",12,512
'199307,"[ 2, 3)",5,12
'199412,"[ 2, 3)",5,12
'199504,"[ 2, 3)",6,15
'200003,"[ 7, 8)",2,14
'199409,"[30,35)",2,64
'200712,"[ 6, 7)","104,096","676,339"
'200801,"[ 2, 3)","107,933","269,579"
'200104,"[ 5, 6)",4,22
'200802,"( 0, 1)","139,593","68,602"
'199904,"[14,16)",2,31
'200105,"[20,25)",6,126
'200806,"[35,40)","9,307","346,721"
'200811,"[ 6, 7)","111,096","720,889"
'200812,"[ 0, 0]","143,044",0
'200812,"[ 1, 2)","118,617","176,288"
'199703,"[12,14)",1,14
'199907,"[12,14)",3,38
'200012,"[12,14)",5,65
'200810,"[10,12)","177,925","1,952,199"
'199809,"[20,25)",4,88
'200905,"[30,35)","15,631","503,237"
'200906,"[30,35)","17,379","559,154"
'200908,"[40,45)","6,561","277,731"
'199201,"[30,35)",1,34
'199711,"[ 8, 9)",1,8
'201001,"( 0, 1)","152,763","81,716"
'200912,"[10,12)","183,413","2,009,403"
'199406,"[ 3, 4)",2,7
'201007,"[ 2, 3)","110,199","273,888"
'201008,"[ 6, 7)","105,029","680,765"
'201009,"[ 9,10)","93,530","885,865"
'201007,"[16,18)","75,539","1,279,374"
'201011,"[35,40)","4,759","177,050"
'199301,"[10,12)",1,10
'201102,"[ 5, 6)","124,099","682,017"
'201012,"[20,25)","63,467","1,399,288"
'201105,"[ 0, 0]","170,561",0
'201106,"[ 6, 7)","114,499","742,238"
'201106,"[25,30)","30,847","836,408"
'201106,"[50,..)","11,379","1,724,180"
'201202,"[ 4, 5)","122,933","551,236"
'200007,"[14,16)",4,61
'198604,"[ 6, 7)",1,7
'201205,"[ 9,10)","99,332","943,227"
'201206,"[14,16)","105,146","1,570,721"
'201210,"[10,12)","175,502","1,924,508"
'201303,"[18,20)","48,738","922,286"
'201304,"[ 5, 6)","110,083","602,970"
'201304,"( 0, 1)","146,735","72,296"
'198912,"[ 0, 0]",1,0
'201405,"[ 4, 5)","101,466","455,697"
'201409,"[18,20)","24,340","459,977"
'200509,"[ 3, 4)",149,525
'200411,"[ 5, 6)",91,499
'200607,"[40,45)",89,"3,794"
'200606,"[30,35)",195,"6,319"
'200605,"[50,..)",266,"63,328"
'200510,"[25,30)",123,"3,351"
'200602,"[25,30)",159,"4,343"
'200509,"[30,35)",65,"2,100"
'200307,"[ 0, 0]",812,0
'200503,"[50,..)",105,"30,575"
'200209,"[ 7, 8)",27,204
'200306,"( 0, 1)",122,38
'200604,"[40,45)",54,"2,279"
'200412,"[10,12)",96,"1,044"
'200403,"[ 9,10)",45,429
'200306,"[16,18)",17,290
'200406,"[16,18)",31,529
'200405,"[35,40)",22,819
'200312,"[10,12)",55,595
'200402,"[10,12)",63,695
'199506,"[ 9,10)",2,19
'199905,"[ 9,10)",1,10
'199603,"[ 0, 0]",141,0
'199504,"[ 1, 2)",6,9
'199804,"[ 1, 2)",7,10
'200201,"[ 1, 2)",14,20
'199407,"[ 0, 0]",141,0
'199204,"[25,30)",1,26
'199805,"[25,30)",2,53
'199807,"[ 4, 5)",4,18
'200207,"[ 6, 7)",26,169
'199701,"( 0, 1)",22,4
'200106,"[ 2, 3)",16,42
'200110,"[10,12)",5,54
'199204,"[ 2, 3)",5,13
'199503,"[ 2, 3)",6,15
'200709,"[50,..)","16,256","2,030,696"
'200104,"[30,35)",4,130
'200709,"[10,12)","172,840","1,891,733"
'200802,"[ 8, 9)","106,440","903,618"
'199501,"[ 5, 6)",1,6
'200802,"[30,35)","9,167","294,951"
'200107,"[ 8, 9)",2,17
'199508,"[16,18)",2,33
'199902,"[14,16)",2,30
'199906,"[14,16)",2,31
'200205,"[40,45)",4,172
'200807,"[ 7, 8)","101,266","758,729"
'200809,"[45,50)","4,007","189,534"
'200810,"[40,45)","5,321","225,232"
'199710,"[12,14)",1,14
'199801,"[12,14)",1,14
'200109,"[20,25)",6,130
'199710,"[20,25)",3,65
'200901,"[20,25)","69,737","1,539,096"
'200910,"[25,30)","29,630","803,626"
'199902,"[30,35)",1,30
'200912,"[ 6, 7)","110,372","716,396"
'199506,"[ 8, 9)",1,8
'201002,"[ 9,10)","105,408","999,727"
'201002,"[18,20)","40,448","764,781"
'199401,"[ 3, 4)",3,10
'199408,"[10,12)",1,10
'199512,"[10,12)",1,10
'201012,"[35,40)","4,647","173,086"
'201011,"[20,25)","60,294","1,328,298"
'199810,"[14,16)",1,15
'199812,"[14,16)",1,15
'199511,"[16,18)",1,16
'199701,"[ 6, 7)",1,6
'201203,"[ 7, 8)","107,434","804,080"
'198601,"[ 7, 8)",1,7
'199202,"[ 6, 7)",1,7
