Date;Steps;CNT;QTY;ZipCode
'200003;[ 6, 7);2;12;15344
'201202;[ 0, 0];212068;0;15351
'201110;[18,20);55945;1059377;15354
'199205;[ 7, 8);1;7;15451
'201202;( 0, 1);171697;89845;15452
'199005;[ 7, 8);1;7;15561
'199012;[ 7, 8);1;7;15562
'201212;[35,40);3438;128145;15669
'201207;[ 7, 8);102919;771277;15699
'201211;[ 9,10);97568;924283;15771
'201212;( 0, 1);163418;83741;15772
'201302;[45,50);967;45786;15773
'201305;[45,50);2299;108863;16121
'201304;[14,16);10488;1566608;16122
'201302;[14,16);84651;1260207;16231
'199009;[ 0, 0];1;0;16232
'198003;[ 0, 0];1;0;16233
'201308;[45,50);3359;159093;16341
'201311;( 0, 1);162015;81125;16342
'201402;[12,14);120316;1552364;16343
'201408;[30,35);11732;377405;16344
'201408;[35,40);6116;227953;16345
'201410;( 0, 1);39419;21438;16346
'200604;[ 0, 0];5846;0;16451
'200604;( 0, 1);1894;683;16452
'200402;[ 8, 9);42;357;16561
'200405;[ 8, 9);54;454;16562
'200507;[ 8, 9);99;837;16656
'200511;[16,18);134;2279;16671
'200308;[30,35);20;643;16672
'200305;[45,50);3;144;16673
'200310;[ 3, 4);50;173;16674
'200207;[ 5, 6);26;143;16675
'200204;[12,14);16;203;16777
'200406;[ 4, 5);66;294;17121
'200311;[ 4, 5);47;209;17122
'199511;[ 1, 2);7;10;17123
'199701;[ 0, 0];141;0;17124
'200104;[25,30);7;193;17234
'199507;[ 0, 0];141;0;17235
'200303;[25,30);14;380;17236
'200008;[ 4, 5);6;27;17237
'200306;[ 2, 3);43;110;17341
'199212;[ 0, 0];140;0;17342
'199602;[ 4, 5);4;17;17343
'199903;[ 4, 5);4;18;17372
'200002;[ 4, 5);5;22;17436
'200412;[18,20);31;584;17455
'200702;[30,35);8481;272963;17456
'199904;( 0, 1);24;5;17546
'199908;( 0, 1);25;6;17561
'200209;[50,..);23;1999;17562
'200210;[10,12);31;335;17563
'200211;[10,12);30;327;17564
'200406;[ 6, 7);61;397;17671
'199808;( 0, 1);23;5;17672
'200703;[18,20);64933;1229511;17673
'199709;[ 2, 3);6;15;17674
'199512;[ 2, 3);6;15;17675
'200105;[ 5, 6);6;32;17676
'200707;[18,20);66418;1258142;17778
'200012;[30,35);5;161;18120
'200306;[40,45);6;251;18121
'199804;[ 6, 7);3;20;18122
'199704;[30,35);2;64;18232
'200710;[12,14);146562;1898927;18233
'199505;[ 5, 6);1;6;18344
'199911;[ 5, 6);1;5;18345
'199205;[16,18);1;16;18346
'199811;[14,16);2;31;18450
'199812;[16,18);2;33;18451
'200104;[14,16);8;120;18452
