Date;Steps;CNT;QTY;ZipCode
'200501;[ 1, 2);104;151;19014
'200209;( 0, 1);84;24;19014
'200603;[45,50);32;1528;19014
'200409;[18,20);28;530;19014
'200601;[40,45);44;186;19014
'200312;[14,16);33;497;19014
'200401;[14,16);35;527;19014
'200403;[14,16);36;543;19014
'200404;[16,18);29;496;19014
'200311;[20,25);42;945;19014
'200501;[20,25);73;1637;19014
'199203;[ 9,10);1;10;19014
'200203;[ 9,10);7;66;19014
'200001;[ 0, 0];158;0;19014
'199607;[ 1, 2);6;9;19014
'199705;[ 0, 0];147;0;19014
'199512;[ 4, 5);4;18;19014
'199703;[ 4, 5);4;18;19014
'199510;[25,30);2;53;19014
'199511;[ 9,10);2;19;19014
'199903;[ 1, 2);7;10;19014
'200302;[ 9,10);20;188;19014
'200703;[ 7, 8);98483;738109;19014
'200202;[ 4, 5);14;63;19014
'200012;[ 2, 3);9;23;19014
'200703;( 0, 1);119673;63352;19014
'200107;[ 6, 7);3;19;19014
'200205;[30,35);8;257;19014
'199601;[ 2, 3);6;15;19014
'199701;[ 2, 3);6;15;19014
'199707;[ 2, 3);6;15;19014
'199802;[ 2, 3);5;12;19014
'200112;[14,16);9;135;19014
'200712;[30,35);12569;404425;19014
'199504;[ 5, 6);1;5;19014
'199710;[ 5, 6);1;6;19014
'200105;[ 8, 9);2;17;19014
'200102;[18,20);5;94;19014
'200807;[ 1, 2);114372;170079;19014
'200807;[16,18);82921;1405168;19014
'200812;[40,45);339;143324;19014
'199606;[12,14);1;13;19014
'200901;[ 1, 2);116911;173863;19014
'200902;[ 1, 2);125184;186074;19014
'199501;[20,25);2;44;19014
'200901;( 0, 1);146619;74253;19014
'200908;[ 5, 6);111109;608889;19014
'201403;[ 0, 0];243103;0;19014
'200909;[ 5, 6);113031;619393;19014
'200911;[ 4, 5);11523;517057;19014
'200912;[25,30);25145;68112;19014
'199302;[30,35);1;30;19014
'199804;[ 8, 9);1;8;19014
'201001;[ 7, 8);108616;814722;19014
'199704;[ 3, 4);2;7;19014
'199409;[ 3, 4);2;7;19014
'201006;[45,50);34;160952;19014
'199902;[ 9,10);1;9;19014
'201011;( 0, 1);138875;72086;19014
'201104;[ 8, 9);104289;884876;19014
'201106;[ 1, 2);118933;174525;19014
'201106;[ 3, 4);120575;421208;19014
'201106;[35,40);7877;293488;19014
'201109;[ 1, 2);118122;178089;19014
'201105;[14,16);111146;1659717;19014
'199604;[16,18);1;16;19014
'201112;[14,16);105539;1575364;19014
'198607;[ 7, 8);1;7;19014
'201204;[ 9,10);98284;930516;19014
'201302;[25,30);11118;300987;19014
'201303;[ 7, 8);10669;799369;19014
'198102;[ 0, 0];1;0;19014
'201307;[ 2, 3);111705;279045;19014
'201308;[25,30);30338;823814;19014
'201312;[ 1, 2);115427;171164;19014
'201401;[ 4, 5);11265;50406;19014
'201405;[ 6, 7);9292;603619;19014
'201312;[16,18);6811;1153406;19014
'200606;[50,..);309;70316;19014
'200608;[ 2, 3);1185;294;19014
'200408;[ 5, 6);76;420;19014
'200605;[ 2, 3);569;1411;19014
'200604;[14,16);457;6842;19014
'200606;[40,45);73;3096;19014
'200604;[30,35);146;4738;19014
'200511;[30,35);79;2564;19014
'200309;[30,35);22;709;19014
'200501;[ 9,10);67;637;19014
'200602;[18,20);201;3806;19014
'200403;[45,50);7;337;19014
'200303;( 0, 1);114;36;19014
'200201;[ 3, 4);11;37;19014
'200305;[ 3, 4);37;127;19014
'200305;[ 4, 5);33;148;19014
'200205;[ 2, 3);24;60;19014
'199409;[ 0, 0];142;0;19014
'199602;[ 9,10);2;18;19014
'199712;[ 0, 0];147;0;19014
'199904;[ 0, 0];150;0;19014
'200007;[ 0, 0];168;0;19014
'199602;[ 1, 2);7;10;19014
'199304;[25,30);1;26;19014
'199512;[25,30);2;53;19014
'199708;[25,30);2;53;19014
'199202;[ 4, 5);4;17;19014
'199206;[ 1, 2);5;8;19014
'200108;( 0, 1);46;11;19014
'200612;[20,25);59959;1324328;19014
'200702;[18,20);47682;901892;19014
'200703;[ 4, 5);103915;465347;19014
'200703;[10,12);173947;1907060;19014
'199411;[ 2, 3);5;13;19014
'200708;[ 7, 8);98856;740368;19014
'200007;[10,12);2;22;19014
'200708;[16,18);83567;1415748;19014
'199903;[ 7, 8);2;14;19014
'200711;[45,50);2563;121298;19014
'199304;[ 5, 6);1;5;19014
'199607;[ 5, 6);1;6;19014
'199312;[ 5, 6);1;6;19014
'200804;[ 6, 7);108299;702663;19014
'199606;[20,25);3;68;19014
'200907;[ 4, 5);109969;493388;19014
'200910;[ 0, 0];144455;0;19014
'199209;[30,35);1;33;19014
'199802;[30,35);1;30;19014
'200004;[ 8, 9);1;8;19014
'200009;[ 8, 9);1;8;19014
'199902;[ 7, 8);1;8;19014
'199510;[ 8, 9);1;9;19014
'199805;[ 8, 9);1;9;19014
'199310;[20,25);1;22;19014
'199309;[ 3, 4);2;7;19014
'199812;[ 3, 4);3;10;19014
'201002;[14,16);96599;1439484;19014
'201005;( 0, 1);114651;57384;19014
'201007;[ 8, 9);97674;828776;19014
'201005;[16,18);87863;1487173;19014
'201009;[40,45);4435;187702;19014
'201008;( 0, 1);131944;69892;19014
'201010;[ 7, 8);102552;768117;19014
'201101;[ 0, 0];177472;0;19014
'201112;[40,45);2774;117434;19014
'201104;[50,..);6768;1242044;19014
'201107;[16,18);7838;1327116;19014
'201201;[18,20);46771;884609;19014
'199911;[16,18);1;16;19014
'198504;[ 6, 7);1;7;19014
'198702;[ 6, 7);1;7;19014
'198911;[ 6, 7);1;7;19014
'198912;[ 7, 8);1;7;19014
'199404;[ 6, 7);1;7;19014
'201206;[ 3, 4);115561;403061;19014
'201203;[14,16);104224;1555629;19014
'201209;[ 3, 4);116802;407505;19014
'201210;[ 9,10);97942;929467;19014
'201302;[ 5, 6);121724;668159;19014
'201305;[ 4, 5);109726;492376;19014
'198505;[ 0, 0];1;0;19014
'199101;[ 0, 0];1;0;19014
'199105;[ 0, 0];1;0;19014
'201305;[12,14);144108;1867193;19014
'201402;[ 5, 6);119851;657638;19014
'201405;[ 7, 8);92946;695877;19014
'201407;[ 5, 6);97329;533922;19014
'201409;[14,16);51779;77318;19014
'201410;[35,40);1305;48664;19014
'200611;[25,30);10069;272238;19014
'200510;( 0, 1);640;222;19014
'200606;[14,16);601;899;19014
'200608;[40,45);115;4893;19014
'200607;[35,40);178;6626;19014
'200503;( 0, 1);376;125;19014
'200503;[30,35);49;1587;19014
'200406;[ 0, 0];1101;0;19014
'200310;[50,..);42;4363;19014
'200604;[ 2, 3);519;1293;19014
'200701;[ 9,10);91894;871259;19014
'200603;[ 2, 3);465;1153;19014
'200102;[ 6, 7);4;26;19014
'200404;[ 7, 8);69;519;19014
'200411;[ 9,10);61;580;19014
'200407;[14,16);43;649;19014
'200112;[12,14);11;143;19014
'200501;[12,14);103;134;19014
'200409;[ 4, 5);72;321;19014
'200304;[12,14);34;433;19014
'200311;[16,18);26;444;19014
'200403;[16,18);25;428;19014
'199205;[ 0, 0];139;0;19014
'199404;[ 9,10);2;19;19014
'199708;[ 9,10);1;10;19014
'199401;[ 1, 2);5;8;19014
'199307;[25,30);2;53;19014
'199508;[25,30);2;53;19014
'200410;[ 2, 3);79;202;19014
'200702;[ 9,10);9858;934984;19014
'200303;[30,35);11;357;19014
'200201;[ 8, 9);4;34;19014
'199208;( 0, 1);17;2;19014
'199402;( 0, 1);23;5;19014
'200110;[50,..);5;479;19014
'200203;[ 5, 6);11;60;19014
'200706;[45,50);409;19332;19014
'200210;[30,35);9;289;19014
'200709;[ 4, 5);10799;484969;19014
'199809;[30,35);2;64;19014
'200712;[ 4, 5);108607;488097;19014
'199203;[ 5, 6);1;6;19014
'199512;[ 5, 6);1;6;19014
'200002;[ 5, 6);5;27;19014
'199906;[ 5, 6);1;5;19014
'199701;[16,18);2;33;19014
'199203;[16,18);1;16;19014
'200805;[ 8, 9);98714;838733;19014
'200802;[20,25);61208;1349955;19014
'200009;[18,20);4;75;19014
'200010;[18,20);4;78;19014
'200811;[ 0, 0];135572;0;19014
'200201;[35,40);3;113;19014
'199802;[18,20);2;38;19014
'200810;[18,20);59629;1129508;19014
'200812;[12,14);147768;1915083;19014
'200103;[40,45);1;44;19014
'200905;[ 7, 8);101664;761169;19014
'200906;[ 5, 6);108186;592239;19014
'200903;[50,..);7651;1206876;19014
'200907;[ 6, 7);106825;69335;19014
'200907;[ 0, 0];141997;0;19014
'200009;[ 3, 4);4;14;19014
'200909;[40,45);4589;194009;19014
'200912;[30,35);1054;338817;19014
'199905;[ 8, 9);1;9;19014
'199807;[ 8, 9);1;9;19014
'201003;[ 6, 7);10931;709678;19014
'201001;[14,16);112128;1676121;19014
'200004;[ 3, 4);3;10;19014
'201010;[ 9,10);97077;921944;19014
'201102;[ 2, 3);128227;319998;19014
'201103;[ 5, 6);112853;619177;19014
'201105;[45,50);2361;11181;19014
'201107;[45,50);4181;198097;19014
'201110;[40,45);4184;176966;19014
'201110;[ 3, 4);118501;413799;19014
'201112;[ 3, 4);118978;413452;19014
'199610;[ 6, 7);1;6;19014
'201202;[25,30);13997;379272;19014
'198312;[ 7, 8);1;7;19014
'199307;[ 7, 8);1;7;19014
'201204;[ 5, 6);112409;616157;19014
'201211;[ 6, 7);112455;729061;19014
'201212;[45,50);1304;61641;19014
'201304;[ 7, 8);10669;799001;19014
'198608;[ 0, 0];1;0;19014
'201308;[ 0, 0];224774;0;19014
'201312;[ 2, 3);110903;276163;19014
'201312;[40,45);193;8165;19014
'201403;[45,50);1133;53558;19014
'201401;( 0, 1);165698;84154;19014
'201402;[40,45);1277;53934;19014
'201410;[ 5, 6);32973;180614;19014
'200611;[ 4, 5);42336;190588;19014
'200609;[ 2, 3);1492;3714;19014
'200506;[ 3, 4);117;410;19014
'200504;[ 0, 0];1736;0;19014
'200604;[ 6, 7);418;2706;19014
'200507;[25,30);98;2673;19014
'200512;[25,30);138;3757;19014
'200505;[45,50);17;814;19014
'200511;[45,50);24;1141;19014
'200208;( 0, 1);82;25;19014
'200408;[35,40);24;891;19014
'200306;[10,12);35;382;19014
'200004;[ 9,10);2;19;19014
'200205;[ 9,10);17;161;19014
'200212;[ 9,10);24;228;19014
'200110;[ 0, 0];251;0;19014
'199807;[ 1, 2);7;10;19014
'200108;[25,30);5;133;19014
'200007;[25,30);5;133;19014
'199301;[ 4, 5);4;18;19014
'200406;[ 2, 3);80;206;19014
'199811;[ 4, 5);4;18;19014
'199702;[ 8, 9);1;9;19014
'199801;[ 1, 2);6;9;19014
'200306;[12,14);34;433;19014
'200402;[14,16);30;443;19014
'200209;[ 8, 9);21;177;19014
'200208;[10,12);27;291;19014
'199211;( 0, 1);17;3;19014
'199406;( 0, 1);21;4;19014
'199801;( 0, 1);22;4;19014
'199902;[ 2, 3);6;15;19014
'200201;[50,..);8;769;19014
'200707;[ 5, 6);101703;558177;19014
'200102;[25,30);5;138;19014
'200207;[30,35);8;257;19014
'199609;[ 2, 3);6;15;19014
'199801;[ 2, 3);6;15;19014
'200710;[ 9,10);95312;904477;19014
'200109;[30,35);4;130;19014
'200712;[ 7, 8);102384;767886;19014
'199907;[ 5, 6);1;6;19014
'200110;[40,45);3;129;19014
'200807;[45,50);4635;219637;19014
'200805;[12,14);148321;1922655;19014
'200808;[12,14);140826;1825448;19014
'200811;[ 3, 4);117858;41144;19014
'200805;[25,30);38177;1036839;19014
'199212;[12,14);1;14;19014
'199510;[20,25);2;44;19014
'199703;[20,25);2;44;19014
'200903;[ 7, 8);105196;787378;19014
'200102;[35,40);1;40;19014
'199201;[ 0, 0];2;0;19014
'200908;[25,30);35315;959652;19014
'200908;[45,50);4446;210583;19014
'200910;[ 2, 3);114676;285746;19014
'200910;[40,45);4036;170659;19014
'199906;[ 8, 9);1;8;19014
'200902;[50,..);6057;1048783;19014
'201002;[ 5, 6);120921;664516;19014
'201004;[35,40);6578;244921;19014
'199501;[ 3, 4);3;10;19014
'200001;[ 3, 4);4;13;19014
'199307;[ 3, 4);3;10;19014
'201005;[ 4, 5);110395;49564;19014
'201009;[50,..);10389;1885119;19014
'201101;[45,50);1737;82162;19014
'201011;[14,16);102347;1528018;19014
'200010;[14,16);4;61;19014
'199506;[16,18);1;16;19014
'201203;[25,30);2122;575328;19014
'198505;[ 7, 8);1;7;19014
'199403;[ 7, 8);1;7;19014
'201209;[35,40);7532;280614;19014
'201302;[ 7, 8);1175;878505;19014
'201304;[ 8, 9);103618;879498;19014
'198004;[ 0, 0];1;0;19014
'199003;[ 0, 0];1;0;19014
'201304;[10,12);178735;1954755;19014
'201305;[14,16);109407;1634486;19014
'201308;[40,45);5072;214528;19014
'201310;[ 9,10);98842;938532;19014
'201403;[ 7, 8);1019;762615;19014
'201403;[ 4, 5);111819;501918;19014
'201405;[30,35);9737;313384;19014
'201402;[10,12);168487;1842116;19014
'201409;[45,50);1266;59795;19014
'201406;[20,25);60561;1336869;19014
'200612;[ 1, 2);78131;117983;19014
'200508;[10,12);190;2077;19014
'200601;[10,12);361;3943;19014
'200607;[ 4, 5);691;3108;19014
'200407;[ 5, 6);74;409;19014
'200605;[ 7, 8);465;3496;19014
'200508;[16,18);94;16;19014
'200507;[16,18);89;1516;19014
'200402;[ 3, 4);59;206;19014
'200307;[35,40);16;597;19014
'200204;[ 2, 3);26;67;19014
'200411;[20,25);60;1352;19014
'200001;[ 9,10);1;10;19014
'200107;[ 9,10);3;28;19014
'199711;[ 0, 0];148;0;19014
'199909;[ 0, 0];154;0;19014
'199910;[ 0, 0];157;0;19014
'200003;[ 0, 0];163;0;19014
'200111;[ 0, 0];258;0;19014
'199204;[ 1, 2);5;8;19014
'199207;[ 1, 2);4;6;19014
'199702;[20,25);3;68;19014
'200010;[ 4, 5);6;27;19014
'199311;[ 4, 5);4;18;19014
'199406;[ 4, 5);4;18;19014
'199605;[ 4, 5);4;18;19014
'199206;[ 9,10);2;19;19014
'199603;[ 9,10);1;10;19014
'199608;[ 1, 2);6;9;19014
'200702;[ 1, 2);112631;168407;19014
'200205;[50,..);17;1621;19014
'200101;[ 2, 3);10;25;19014
'199811;[ 2, 3);7;18;19014
'199509;( 0, 1);21;4;19014
'200702;[16,18);71884;1216118;19014
'199906;[10,12);3;35;19014
'200101;[10,12);2;22;19014
'200709;[ 6, 7);104957;680613;19014
'200209;[40,45);5;208;19014
'200307;[40,45);9;387;19014
'200708;[14,16);109197;1632526;19014
'200711;[ 4, 5);111157;498931;19014
'199810;[ 7, 8);2;14;19014
'200712;[ 2, 3);10773;269257;19014
'200709;[18,20);59828;1131960;19014
'199709;[ 5, 6);1;5;19014
'200802;[ 0, 0];131884;0;19014
'200711;[10,12);17917;1961296;19014
'200803;[35,40);6492;241952;19014
'200106;[ 8, 9);3;25;19014
'199502;[14,16);2;30;19014
'200108;[40,45);3;129;19014
'200807;[40,45);6846;289837;19014
'200102;[30,35);3;92;19014
'200807;[20,25);87608;1941102;19014
'200809;[10,12);175918;1924991;19014
'199709;[12,14);1;13;19014
'199711;[12,14);1;13;19014
'200808;[25,30);37146;1010013;19014
'200901;[ 4, 5);113102;50871;19014
'199704;[20,25);3;68;19014
'200011;[20,25);5;108;19014
'200908;[ 8, 9);101653;864312;19014
'199909;[ 8, 9);1;8;19014
'199503;[ 8, 9);1;9;19014
'199307;[20,25);1;22;19014
'199202;[ 3, 4);2;6;19014
'199411;[ 3, 4);2;7;19014
'199911;[ 3, 4);2;7;19014
'201007;[30,35);17242;555575;19014
'201008;[45,50);399;189017;19014
'201008;[16,18);72111;1221507;19014
'201102;[30,35);6072;195366;19014
'201106;[ 8, 9);104963;8905;19014
'201108;[ 5, 6);112137;614129;19014
'201103;[16,18);78029;1320067;19014
'201106;[45,50);315;149047;19014
'201111;[25,30);22792;617267;19014
'201107;[18,20);57251;1083815;19014
'200011;[ 7, 8);1;7;19014
'201201;[ 9,10);101305;960628;19014
'201202;[45,50);1114;52643;19014
'198508;[ 7, 8);1;7;19014
'198804;[ 6, 7);1;7;19014
'201203;[10,12);178035;1952935;19014
'201211;[ 2, 3);113934;285394;19014
'201207;[40,45);6094;257788;19014
'201207;( 0, 1);144567;72193;19014
'201211;( 0, 1);15964;80769;19014
'201305;[25,30);29502;800104;19014
'198208;[ 0, 0];1;0;19014
'198307;[ 0, 0];1;0;19014
'198401;[ 0, 0];1;0;19014
'198806;[ 0, 0];1;0;19014
'199107;[ 0, 0];1;0;19014
'199109;[ 0, 0];1;0;19014
'198302;[ 0, 0];1;0;19014
'198703;[ 0, 0];1;0;19014
'201310;[ 1, 2);117076;172551;19014
'201402;[ 9,10);100333;951412;19014
'201309;[16,18);68614;1161334;19014
'201401;[16,18);66676;1128205;19014
'201403;[16,18);67895;1148920;19014
'201404;[14,16);93677;1399628;19014
'201406;[ 4, 5);100179;449285;19014
'201406;[50,..);7847;1042153;19014
'201411;[ 4, 5);1;5;19014
'200511;[ 2, 3);210;531;19014
'200609;[ 7, 8);1202;9029;19014
'200501;[ 0, 0];1446;0;19014
'200411;[ 8, 9);60;509;19014
'200211;[ 0, 0];548;0;19014
'200701;[ 4, 5);102695;459856;19014
'200201;[ 7, 8);5;36;19014
'200510;[ 1, 2);210;304;19014
'200307;( 0, 1);157;53;19014
'200501;[25,30);62;168;19014
'200410;[10,12);83;903;19014
'200604;[45,50);30;1424;19014
'200110;[ 3, 4);11;37;19014
'200211;[ 3, 4);30;105;19014
'200301;[ 3, 4);37;127;19014
'200408;[ 6, 7);62;401;19014
'200408;[ 2, 3);73;186;19014
'200310;[25,30);27;728;19014
'199409;[ 9,10);2;19;19014
'199909;[ 9,10);2;19;19014
'200109;[ 0, 0];244;0;19014
'200201;[ 0, 0];274;0;19014
'200201;[25,30);8;214;19014
'199601;[ 0, 0];141;0;19014
'200307;[ 1, 2);40;58;19014
'200211;[25,30);12;330;19014
'199212;[ 4, 5);4;18;19014
'200205;[25,30);10;269;19014
'199412;[ 4, 5);4;18;19014
'199705;[ 4, 5);4;18;19014
'200411;[45,50);12;568;19014
'200409;[ 6, 7);65;423;19014
'200612;[10,12);128244;1404716;19014
'199705;( 0, 1);22;4;19014
'200705;[50,..);11989;1545957;19014
'200706;[ 8, 9);96586;819608;19014
'200111;[ 5, 6);7;37;19014
'200211;[40,45);6;251;19014
'200403;[40,45);9;387;19014
'200710;[ 4, 5);107009;48005;19014
'199405;[30,35);2;66;19014
'200012;[ 5, 6);4;21;19014
'200804;[40,45);4204;177745;19014
'199601;[16,18);2;33;19014
'200001;[16,18);2;33;19014
'200809;[ 9,10);95291;902665;19014
'200102;[16,18);5;86;19014
'199502;[12,14);1;12;19014
'199906;[12,14);1;13;19014
'200204;[35,40);3;113;19014
'200901;[12,14);14659;1899486;19014
'200906;[20,25);82781;1829508;19014
'200909;[ 8, 9);10519;892559;19014
'200910;[ 4, 5);113206;507512;19014
'200911;[ 3, 4);11944;417003;19014
'199311;[30,35);1;33;19014
'200909;[16,18);74579;1262504;19014
'200911;[12,14);146605;1897056;19014
'201002;[35,40);3549;132159;19014
'201004;[25,30);28079;759887;19014
'201001;[16,18);78413;1328482;19014
'199803;[ 3, 4);3;10;19014
'201005;[12,14);148499;1924400;19014
'201009;[45,50);2756;130305;19014
'199410;[10,12);1;10;19014
'201101;[18,20);51783;979675;19014
'201108;[ 0, 0];181089;0;19014
'199905;[14,16);1;15;19014
'201201;[ 0, 0];205792;0;19014
'201301;[50,..);5034;1145033;19014
'201205;[ 6, 7);104534;678247;19014
'201208;[12,14);13265;1718240;19014
'201305;[ 0, 0];222714;0;19014
'201305;[ 3, 4);109815;383519;19014
'201305;[35,40);6358;236772;19014
'198704;[ 0, 0];1;0;19014
'201306;[45,50);2614;123647;19014
'201308;[16,18);70648;1197312;19014
'201402;[35,40);2009;74773;19014
'201311;[10,12);176625;1931267;19014
'201405;[20,25);65491;1445815;19014
'201411;[ 0, 0];2;0;19014
'200611;[ 7, 8);39392;29535;19014
'200611;[16,18);29458;498396;19014
'200511;[ 0, 0];2606;0;19014
'200605;[35,40);126;4688;19014
'200408;[ 0, 0];1155;0;19014
'200502;[ 8, 9);80;682;19014
'200504;( 0, 1);398;133;19014
'200405;[30,35);26;839;19014
'200309;[50,..);39;3981;19014
'200512;[ 2, 3);209;522;19014
'200407;[ 0, 0];1135;0;19014
'200507;[ 4, 5);132;592;19014
'200310;[10,12);54;583;19014
'200312;[ 8, 9);44;370;19014
'200401;[ 8, 9);50;419;19014
'200203;[12,14);12;155;19014
'200112;[ 2, 3);20;50;19014
'200406;[14,16);40;595;19014
'200409;[16,18);34;581;19014
'200308;[10,12);52;562;19014
'199202;[ 0, 0];139;0;19014
'199606;[ 0, 0];142;0;19014
'199808;[ 0, 0];149;0;19014
'199802;[ 1, 2);6;10;19014
'199305;[25,30);2;53;19014
'200306;[25,30);15;412;19014
'199207;[ 4, 5);4;18;19014
'200209;[ 1, 2);21;31;19014
'200306;[45,50);3;140;19014
'200307;[ 6, 7);44;285;19014
'200307;[30,35);17;547;19014
'199603;( 0, 1);22;4;19014
'199606;( 0, 1);21;4;19014
'199609;( 0, 1);21;4;19014
'199502;( 0, 1);23;5;19014
'199407;( 0, 1);22;4;19014
'200207;[18,20);10;191;19014
'200104;[12,14);5;64;19014
'200705;[10,12);17212;1888838;19014
'200706;[ 3, 4);107782;376922;19014
'200007;[16,18);6;101;19014
'200707;[ 0, 0];127071;0;19014
'200412;[40,45);12;512;19014
'199307;[ 2, 3);5;12;19014
'199412;[ 2, 3);5;12;19014
'199504;[ 2, 3);6;15;19014
'200003;[ 7, 8);2;14;19014
'199409;[30,35);2;64;19014
'200712;[ 6, 7);104096;676339;19014
'200801;[ 2, 3);107933;269579;19014
'200104;[ 5, 6);4;22;19014
'200802;( 0, 1);139593;68602;19014
'199904;[14,16);2;31;19014
'200105;[20,25);6;126;19014
'200806;[35,40);9307;346721;19014
'200811;[ 6, 7);111096;720889;19014
'200812;[ 0, 0];143044;0;19014
'200812;[ 1, 2);118617;176288;19014
'199703;[12,14);1;14;19014
'199907;[12,14);3;38;19014
'200012;[12,14);5;65;19014
'200810;[10,12);177925;1952199;19014
'199809;[20,25);4;88;19014
'200905;[30,35);15631;503237;19014
'200906;[30,35);17379;559154;19014
'200908;[40,45);6561;277731;19014
'199201;[30,35);1;34;19014
'199711;[ 8, 9);1;8;19014
'201001;( 0, 1);152763;81716;19014
'200912;[10,12);183413;2009403;19014
'199406;[ 3, 4);2;7;19014
'201007;[ 2, 3);110199;273888;19014
'201008;[ 6, 7);105029;680765;19014
'201009;[ 9,10);9353;885865;19014
'201007;[16,18);75539;1279374;19014
'201011;[35,40);4759;17705;19014
'199301;[10,12);1;10;19014
'201102;[ 5, 6);124099;682017;19014
'201012;[20,25);63467;1399288;19014
'201105;[ 0, 0];170561;0;19014
'201106;[ 6, 7);114499;742238;19014
'201106;[25,30);30847;836408;19014
'201106;[50,..);11379;1724180;19014
'201202;[ 4, 5);122933;551236;19014
'200007;[14,16);4;61;19014
'198604;[ 6, 7);1;7;19014
'201205;[ 9,10);99332;943227;19014
'201206;[14,16);105146;1570721;19014
'201210;[10,12);175502;1924508;19014
'201303;[18,20);48738;922286;19014
'201304;[ 5, 6);110083;60297;19014
'201304;( 0, 1);146735;72296;19014
'198912;[ 0, 0];1;0;19014
'201405;[ 4, 5);101466;455697;19014
'201409;[18,20);2434;459977;19014
'200509;[ 3, 4);149;525;19014
'200411;[ 5, 6);91;499;19014
'200607;[40,45);89;3794;19014
'200606;[30,35);195;6319;19014
'200605;[50,..);266;63328;19014
'200510;[25,30);123;3351;19014
'200602;[25,30);159;4343;19014
'200509;[30,35);65;21;19014
'200307;[ 0, 0];812;0;19014
'200503;[50,..);105;30575;19014
'200209;[ 7, 8);27;204;19014
'200306;( 0, 1);122;38;19014
'200604;[40,45);54;2279;19014
'200412;[10,12);96;1044;19014
'200403;[ 9,10);45;429;19014
'200306;[16,18);17;290;19014
'200406;[16,18);31;529;19014
'200405;[35,40);22;819;19014
'200312;[10,12);55;595;19014
'200402;[10,12);63;695;19014
'199506;[ 9,10);2;19;19014
'199905;[ 9,10);1;10;19014
'199603;[ 0, 0];141;0;19014
'199504;[ 1, 2);6;9;19014
'199804;[ 1, 2);7;10;19014
'200201;[ 1, 2);14;20;19014
'199407;[ 0, 0];141;0;19014
'199204;[25,30);1;26;19014
'199805;[25,30);2;53;19014
'199807;[ 4, 5);4;18;19014
'200207;[ 6, 7);26;169;19014
'199701;( 0, 1);22;4;19014
'200106;[ 2, 3);16;42;19014
'200110;[10,12);5;54;19014
'199204;[ 2, 3);5;13;19014
'199503;[ 2, 3);6;15;19014
'200709;[50,..);16256;2030696;19014
'200104;[30,35);4;130;19014
'200709;[10,12);17284;1891733;19014
'200802;[ 8, 9);10644;903618;19014
'199501;[ 5, 6);1;6;19014
'200802;[30,35);9167;294951;19014
'200107;[ 8, 9);2;17;19014
'199508;[16,18);2;33;19014
'199902;[14,16);2;30;19014
'199906;[14,16);2;31;19014
'200205;[40,45);4;172;19014
'200807;[ 7, 8);101266;758729;19014
'200809;[45,50);4007;189534;19014
'200810;[40,45);5321;225232;19014
'199710;[12,14);1;14;19014
'199801;[12,14);1;14;19014
'200109;[20,25);6;130;19014
'199710;[20,25);3;65;19014
'200901;[20,25);69737;1539096;19014
'200910;[25,30);2963;803626;19014
'199902;[30,35);1;30;19014
'200912;[ 6, 7);110372;716396;19014
'199506;[ 8, 9);1;8;19014
'201002;[ 9,10);105408;999727;19014
'201002;[18,20);40448;764781;19014
'199401;[ 3, 4);3;10;19014
'199408;[10,12);1;10;19014
'199512;[10,12);1;10;19014
'201012;[35,40);4647;173086;19014
'201011;[20,25);60294;1328298;19014
'199810;[14,16);1;15;19014
'199812;[14,16);1;15;19014
'199511;[16,18);1;16;19014
'199701;[ 6, 7);1;6;19014
'201203;[ 7, 8);107434;80408;19014
'198601;[ 7, 8);1;7;19014
'199202;[ 6, 7);1;7;19014
'201203;[40,45);2342;99079;19014
'201205;[ 8, 9);102021;865498;19014
'201206;[30,35);15076;484685;19014
'201208;[ 7, 8);10519;789029;19014
'201210;[ 3, 4);11385;397624;19014
'201207;[20,25);80669;1787635;19014
'201211;[40,45);2344;99113;19014
'201301;[14,16);1004;1499899;19014
'201303;[ 5, 6);110745;607847;19014
'201212;[14,16);101636;1518005;19014
'201301;[10,12);177447;1945222;19014
'198202;[ 0, 0];1;0;19014
'198610;[ 0, 0];1;0;19014
'198702;[ 0, 0];1;0;19014
'198903;[ 0, 0];1;0;19014
'198906;[ 0, 0];1;0;19014
'201306;[ 8, 9);100992;857284;19014
'201311;[ 2, 3);116359;289454;19014
'201402;[30,35);4085;131353;19014
'201405;[25,30);24583;666814;19014
'201409;[35,40);3086;114901;19014
'201410;[ 6, 7);31781;206177;19014
'200605;[ 3, 4);530;1842;19014
'200606;[ 3, 4);611;2131;19014
'200606;[20,25);566;12554;19014
'200405;[ 5, 6);71;392;19014
'200504;[35,40);33;1218;19014
'200608;[50,..);565;103439;19014
'200608;[16,18);845;14348;19014
'200404;[ 8, 9);43;364;19014
'200504;[ 8, 9);76;644;19014
'200406;[ 7, 8);70;526;19014
'200308;( 0, 1);175;57;19014
'200506;[16,18);80;1364;19014
'200401;[10,12);64;695;19014
'200105;[ 3, 4);10;34;19014
'200409;[20,25);57;1285;19014
'200208;[ 0, 0];409;0;19014
'200412;[35,40);25;927;19014
'200206;[12,14);16;203;19014
'200303;[ 4, 5);32;143;19014
'199308;[ 0, 0];140;0;19014
'199406;[ 9,10);2;19;19014
'199902;[ 8, 9);1;9;19014
'199910;[ 9,10);1;10;19014
'200007;[ 9,10);1;10;19014
'199802;[ 0, 0];149;0;19014
'199510;[ 1, 2);6;9;19014
'199708;[ 1, 2);6;9;19014
